Implementation,Array Size,Sorting Time(s)
qs5,1000,0.002104043960571289
qs5,1000,0.002042055130004883
qs5,1000,0.0020341873168945312
qs5,1000,0.002015352249145508
qs5,1000,0.0022101402282714844
qs5,1000,0.0021369457244873047
qs5,1000,0.002034902572631836
qs5,1000,0.002076864242553711
qs5,1000,0.002034902572631836
qs5,1000,0.0020599365234375
merge1,1000,0.002023935317993164
merge1,1000,0.0020291805267333984
merge1,1000,0.0020651817321777344
merge1,1000,0.0020363330841064453
merge1,1000,0.0020563602447509766
merge1,1000,0.0020210742950439453
merge1,1000,0.0020389556884765625
merge1,1000,0.0020470619201660156
merge1,1000,0.002049684524536133
merge1,1000,0.0020470619201660156
partition_sort,1000,0.0010077953338623047
partition_sort,1000,0.0010118484497070312
partition_sort,1000,0.0010039806365966797
partition_sort,1000,0.0010120868682861328
partition_sort,1000,0.0010061264038085938
partition_sort,1000,0.0010128021240234375
partition_sort,1000,0.0010042190551757812
partition_sort,1000,0.0010068416595458984
partition_sort,1000,0.001007080078125
partition_sort,1000,0.0010101795196533203
qs1,5000,0.008432149887084961
qs1,5000,0.008526802062988281
qs1,5000,0.008579254150390625
qs1,5000,0.008479118347167969
qs1,5000,0.008646011352539062
qs1,5000,0.00832986831665039
qs1,5000,0.008445978164672852
qs1,5000,0.008630990982055664
qs1,5000,0.0084228515625
qs1,5000,0.008647918701171875
qs2,5000,0.011170148849487305
qs2,5000,0.01099395751953125
qs2,5000,0.011558055877685547
qs2,5000,0.011108875274658203
qs2,5000,0.010811805725097656
qs2,5000,0.010807037353515625
qs2,5000,0.011130094528198242
qs2,5000,0.010876178741455078
qs2,5000,0.011014223098754883
qs2,5000,0.011272192001342773
qs3,5000,0.010908842086791992
qs3,5000,0.010950088500976562
qs3,5000,0.010959148406982422
qs3,5000,0.011128902435302734
qs3,5000,0.011423110961914062
qs3,5000,0.011209964752197266
qs3,5000,0.011145830154418945
qs3,5000,0.011394977569580078
qs3,5000,0.010917186737060547
qs3,5000,0.011172771453857422
qs4,5000,0.014630794525146484
qs4,5000,0.012581110000610352
qs4,5000,0.012359857559204102
qs4,5000,0.012761116027832031
qs4,5000,0.013004064559936523
qs4,5000,0.01358795166015625
qs4,5000,0.013516902923583984
qs4,5000,0.012910842895507812
qs4,5000,0.012267112731933594
qs4,5000,0.014241933822631836
qs5,5000,0.011966943740844727
qs5,5000,0.012007951736450195
qs5,5000,0.012140035629272461
qs5,5000,0.012183904647827148
qs5,5000,0.01194906234741211
qs5,5000,0.012159109115600586
qs5,5000,0.012206792831420898
qs5,5000,0.012150049209594727
qs5,5000,0.012032032012939453
qs5,5000,0.012224912643432617
merge1,5000,0.01285099983215332
merge1,5000,0.012948989868164062
merge1,5000,0.012916088104248047
merge1,5000,0.012890100479125977
merge1,5000,0.012988090515136719
merge1,5000,0.01289224624633789
merge1,5000,0.012964010238647461
merge1,5000,0.013036012649536133
merge1,5000,0.012835264205932617
merge1,5000,0.012818098068237305
partition_sort,5000,0.00581812858581543
partition_sort,5000,0.005784034729003906
partition_sort,5000,0.005786895751953125
partition_sort,5000,0.005839109420776367
partition_sort,5000,0.00585484504699707
partition_sort,5000,0.0057981014251708984
partition_sort,5000,0.005810976028442383
partition_sort,5000,0.005784034729003906
partition_sort,5000,0.005787849426269531
partition_sort,5000,0.005777120590209961
qs1,10000,0.01689887046813965
qs1,10000,0.016566038131713867
qs1,10000,0.016463756561279297
qs1,10000,0.01622295379638672
qs1,10000,0.016515254974365234
qs1,10000,0.01618504524230957
qs1,10000,0.016516923904418945
qs1,10000,0.016316890716552734
qs1,10000,0.016643047332763672
qs1,10000,0.01674485206604004
qs2,10000,0.021370887756347656
qs2,10000,0.022303104400634766
qs2,10000,0.021671056747436523
qs2,10000,0.022450923919677734
qs2,10000,0.021779298782348633
qs2,10000,0.021703720092773438
qs2,10000,0.022181987762451172
qs2,10000,0.02188420295715332
qs2,10000,0.02210402488708496
qs2,10000,0.02171802520751953
qs3,10000,0.021870851516723633
qs3,10000,0.02252197265625
qs3,10000,0.02234792709350586
qs3,10000,0.02249908447265625
qs3,10000,0.022450923919677734
qs3,10000,0.023334980010986328
qs3,10000,0.02237701416015625
qs3,10000,0.02199387550354004
qs3,10000,0.022076845169067383
qs3,10000,0.022561073303222656
qs4,10000,0.02886819839477539
qs4,10000,0.030813932418823242
qs4,10000,0.029575109481811523
qs4,10000,0.026974916458129883
qs4,10000,0.027292966842651367
qs4,10000,0.02849102020263672
qs4,10000,0.027667999267578125
qs4,10000,0.029889822006225586
